Source,Target,Association
REF_HANA_SLT_PRD_MM_DS/T001W,REF_HANA_SLT_PRD_MM_DS/T001W/WERKS,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_MM_DS,REF_HANA_SLT_PRD_MM_DS/MBEW,core.DataSourceParentChild
REF_HANA_SLT_PRD_MM_DS/MBEW,REF_HANA_SLT_PRD_MM_DS/MBEW/BWKEY,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_MM_DS/MBEW,REF_HANA_SLT_PRD_MM_DS/MBEW/MATNR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_MM_DS/MBEW,REF_HANA_SLT_PRD_MM_DS/MBEW/STPRS,core.DataSetToDataElementParentship
hana_calcviews_container,custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,core.DataSourceParentChild
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/WERKS,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/LGORT,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MATNR,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MAKTX,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MTYPE,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MEINS,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/PLANT_NAME,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/STOCK_STATUS,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/LABST,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/EINME,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/STOCK_VALUE,custom.sap.hana.calscript.v7.HanaCalcViewToHanaCalcViewField
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/stock_base,custom.sap.hana.calscript.v7.HanaCalcViewToHanaScriptBlock
custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/material_info,custom.sap.hana.calscript.v7.HanaCalcViewToHanaScriptBlock
REF_HANA_SLT_PRD_MM_DS/MARD,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/stock_base,core.DataSetDataFlow
REF_HANA_SLT_PRD_MM_DS/MARA,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/stock_base,core.DataSetDataFlow
REF_HANA_SLT_PRD_MM_DS/MAKT,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/stock_base,core.DataSetDataFlow
REF_HANA_SLT_PRD_MM_DS/T001W,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/stock_base,core.DataSetDataFlow
REF_HANA_SLT_PRD_MM_DS/MBEW,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/stock_base,core.DataSetDataFlow
custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/stock_base,custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/material_info,core.DataSetDataFlow
custom.sap.hana.calscript.v7.HanaScriptBlock/CV_INVENTORY_STOCK/material_info,custom.sap.hana.calscript.v7.HanaCalcView/CV_INVENTORY_STOCK,core.DataSetDataFlow
REF_HANA_SLT_PRD_MM_DS/MARD/WERKS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/WERKS,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/T001W/WERKS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/WERKS,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MARD/LGORT,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/LGORT,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MARD/MATNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MATNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MARA/MATNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MATNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MAKT/MATNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MATNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MBEW/MATNR,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MATNR,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MAKT/MAKTX,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MAKTX,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MARA/MTYPE,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MTYPE,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MARA/MEINS,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/MEINS,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MARD/LABST,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/LABST,core.DirectionalDataFlow
REF_HANA_SLT_PRD_MM_DS/MARD/EINME,custom.sap.hana.calscript.v7.HanaCalcViewField/CV_INVENTORY_STOCK/EINME,core.DirectionalDataFlow
$RESOURCE,REF_HANA_SLT_PRD_SD_CONN,core.ResourceParentChild
REF_HANA_SLT_PRD_SD_CONN,REF_HANA_SLT_PRD_SD_DS,core.ResourceParentChild
REF_HANA_SLT_PRD_SD_DS,REF_HANA_SLT_PRD_SD_DS/VBAK,core.DataSourceParentChild
REF_HANA_SLT_PRD_SD_DS/VBAK,REF_HANA_SLT_PRD_SD_DS/VBAK/AUART,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAK,REF_HANA_SLT_PRD_SD_DS/VBAK/ERDAT,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAK,REF_HANA_SLT_PRD_SD_DS/VBAK/GBSTK,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAK,REF_HANA_SLT_PRD_SD_DS/VBAK/KUNNR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAK,REF_HANA_SLT_PRD_SD_DS/VBAK/VBELN,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAK,REF_HANA_SLT_PRD_SD_DS/VBAK/VKORG,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAK,REF_HANA_SLT_PRD_SD_DS/VBAK/WAERK,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS,REF_HANA_SLT_PRD_SD_DS/VBAP,core.DataSourceParentChild
REF_HANA_SLT_PRD_SD_DS/VBAP,REF_HANA_SLT_PRD_SD_DS/VBAP/ARKTX,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAP,REF_HANA_SLT_PRD_SD_DS/VBAP/KWMENG,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAP,REF_HANA_SLT_PRD_SD_DS/VBAP/MATNR,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAP,REF_HANA_SLT_PRD_SD_DS/VBAP/MWSBP,core.DataSetToDataElementParentship
REF_HANA_SLT_PRD_SD_DS/VBAP,REF_HANA_SLT_PRD_SD_DS/VBAP/NETWR,core.DataSetToDataElementParentship
