core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.PowerBI.v3.FieldType
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual18_barChart/simpfy_projects_vw_Total_cost_distinct_project,Total cost,simpfy_projects_vw.Total cost distinct project,Total cost,Total cost,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Total_cost_distinct_project,Total cost distinct project,Total cost distinct project,Total cost distinct project,Total cost distinct project,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual18_barChart/simpfy_projects_vw_segment_name_abbreviated,Segment name,simpfy_projects_vw.segment_name_abbreviated,Segment name,Segment name,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual18_barChart/Min_simpfy_projects_vw_segment_name,Segment full name,Min(simpfy_projects_vw.segment_name),Segment full name,Segment full name,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual18_barChart/simpfy_projects_vw_Total_cost_distinct_project_for_label_formatted,Total cost distinct project for label formatted,simpfy_projects_vw.Total cost distinct project for label formatted,Total cost distinct project for label formatted,Total cost distinct project for label formatted,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Total_cost_distinct_project_for_label_formatted,Total cost distinct project for label formatted,Total cost distinct project for label formatted,Total cost distinct project for label formatted,Total cost distinct project for label formatted,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual19_card/simpfy_projects_vw_socar_share_distinct,"SOCAR Share, USD",simpfy_projects_vw.socar_share_distinct,"SOCAR Share, USD","SOCAR Share, USD",,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/socar_share_distinct,socar_share_distinct,socar_share_distinct,socar_share_distinct,socar_share_distinct,,Measure
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual1_barChart/simpfy_challenges_vw_risk_level,Risk level,simpfy_challenges_vw.risk_level,Risk level,Risk level,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/risk_level,risk_level,risk_level,risk_level,risk_level,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual1_barChart/CountNonNull_simpfy_challenges_vw_challange_id,Count of challanges,CountNonNull(simpfy_challenges_vw.challange_id),Count of challanges,Count of challanges,,Measure
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/challange_id,challange_id,challange_id,challange_id,challange_id,,Measure
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual1_barChart/Min_simpfy_challenges_vw_risk_level,First risk_level,Min(simpfy_challenges_vw.risk_level),First risk_level,First risk_level,,Measure
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual2_donutChart/simpfy_challenges_vw_segment_name_abbreviated,Segment Name,simpfy_challenges_vw.segment_name_abbreviated,Segment Name,Segment Name,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/segment_name_abbreviated,segment_name_abbreviated,segment_name_abbreviated,segment_name_abbreviated,segment_name_abbreviated,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual2_donutChart/simpfy_challenges_vw_segment_name,Segment Name,simpfy_challenges_vw.segment_name,Segment Name,Segment Name,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/segment_name,segment_name,segment_name,segment_name,segment_name,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual2_donutChart/CountNonNull_simpfy_challenges_vw_challange_id,Count of challanges,CountNonNull(simpfy_challenges_vw.challange_id),Count of challanges,Count of challanges,,Measure
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual3_card/CountNonNull_simpfy_challenges_vw_challange_id,Count of challange_id,CountNonNull(simpfy_challenges_vw.challange_id),Count of challange_id,Count of challange_id,,Measure
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual4_donutChart/simpfy_challenges_vw_challenge_type_abbreviated,Challenge Type,simpfy_challenges_vw.challenge_type_abbreviated,Challenge Type,Challenge Type,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/challenge_type_abbreviated,challenge_type_abbreviated,challenge_type_abbreviated,challenge_type_abbreviated,challenge_type_abbreviated,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual4_donutChart/CountNonNull_simpfy_challenges_vw_challange_id,Count of challanges,CountNonNull(simpfy_challenges_vw.challange_id),Count of challanges,Count of challanges,,Measure
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual5_pieChart/simpfy_challenges_vw_challenge_impact_level,Challenge impact level,simpfy_challenges_vw.challenge_impact_level,Challenge impact level,Challenge impact level,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/challenge_impact_level,challenge_impact_level,challenge_impact_level,challenge_impact_level,challenge_impact_level,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual5_pieChart/CountNonNull_simpfy_challenges_vw_challange_id,Count of challanges,CountNonNull(simpfy_challenges_vw.challange_id),Count of challanges,Count of challanges,,Measure
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_segment_name,Segment,simpfy_challenges_vw.segment_name,Segment,Segment,,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_title,Challenges,simpfy_challenges_vw.title,Challenges,Challenges,,Source Column
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/challenge_title__area_of_concern,challenge title (area of concern),challenge title (area of concern),challenge title (area of concern),challenge title (area of concern),,Source Column
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx/simpfy_challenges_vw_description,Description,simpfy_challenges_vw.description,Description,Description,,Source Column
