core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.PowerBI.v3.VisualQuery,custom.PowerBI.v3.VisualType
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual4_donutChart,Visual4_donutChart,Visual4_donutChart,Visual4_donutChart,Visual4_donutChart,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challenge_type_abbreviated'}, 'Name': 'simpfy_challenges_vw.challenge_type_abbreviated', 'NativeReferenceName': 'Challenge Type'}, {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challange_id'}}, 'Function': 2}, 'Name': 'CountNonNull(simpfy_challenges_vw.challange_id)', 'NativeReferenceName': 'Count of challanges'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challenge title (area of concern)'}}, 'Function': 2}}}]}",donutChart
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual5_pieChart,Visual5_pieChart,Visual5_pieChart,Visual5_pieChart,Visual5_pieChart,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challenge_impact_level'}, 'Name': 'simpfy_challenges_vw.challenge_impact_level', 'NativeReferenceName': 'Challenge impact level'}, {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challange_id'}}, 'Function': 2}, 'Name': 'CountNonNull(simpfy_challenges_vw.challange_id)', 'NativeReferenceName': 'Count of challanges'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challange_id'}}, 'Function': 5}}}]}",pieChart
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual6_tableEx,Visual6_tableEx,Visual6_tableEx,Visual6_tableEx,Visual6_tableEx,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'segment_name'}, 'Name': 'simpfy_challenges_vw.segment_name', 'NativeReferenceName': 'Segment'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'challenge title (area of concern)'}, 'Name': 'simpfy_challenges_vw.title', 'NativeReferenceName': 'Challenges'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'description'}, 'Name': 'simpfy_challenges_vw.description', 'NativeReferenceName': 'Description'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'potential_impact'}, 'Name': 'simpfy_challenges_vw.potential_impact', 'NativeReferenceName': 'Potential lmpact'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'planned_actions(resolution actions)'}, 'Name': 'simpfy_challenges_vw.planned_actions', 'NativeReferenceName': 'Resolution Actions'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'risk_level'}, 'Name': 'simpfy_challenges_vw.risk_level', 'NativeReferenceName': 'Risk Level'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'challenge_type'}, 'Name': 'simpfy_challenges_vw.challenge_type', 'NativeReferenceName': 'Challenge Type'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'CombinedResolutionPartners2'}, 'Name': 'simpfy_challenges_vw.CombinedResolutionPartners2', 'NativeReferenceName': 'Resolution Partners'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': '""""ProjectName_Combined'}, 'Name': 'simpfy_challenges_vw.""""ProjectName_Combined', 'NativeReferenceName': 'Project Names '}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Status'}, 'Name': 'simpfy_challenges_vw.Status', 'NativeReferenceName': 'Status'}]}",tableEx
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual7_card,Visual7_card,Visual7_card,Visual7_card,Visual7_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'challange_id'}}, 'Function': 2}, 'Name': 'CountNonNull(simpfy_challenges_vw.challange_id)', 'NativeReferenceName': 'Count of challange_id1'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'challenge title (area of concern)'}}, 'Function': 2}}}]}",card
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual8_slicer,Visual8_slicer,Visual8_slicer,Visual8_slicer,Visual8_slicer,,"{'Version': 2, 'From': [{'Name': 'u', 'Entity': 'Unique_Projects', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 'u'}}, 'Property': 'project_name'}, 'Name': 'Unique_Projects.project_name', 'NativeReferenceName': 'Project Name'}]}",slicer
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual9_slicer,Visual9_slicer,Visual9_slicer,Visual9_slicer,Visual9_slicer,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challange_partner'}, 'Name': 'simpfy_challenges_vw.challange_partner', 'NativeReferenceName': 'Resolution partner'}]}",slicer
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual10_slicer,Visual10_slicer,Visual10_slicer,Visual10_slicer,Visual10_slicer,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'Status'}, 'Name': 'simpfy_challenges_vw.Status', 'NativeReferenceName': 'Status'}]}",slicer
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual11_slicer,Visual11_slicer,Visual11_slicer,Visual11_slicer,Visual11_slicer,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'risk_level'}, 'Name': 'simpfy_challenges_vw.risk_level', 'NativeReferenceName': 'Risk level'}]}",slicer
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual12_slicer,Visual12_slicer,Visual12_slicer,Visual12_slicer,Visual12_slicer,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'Challenge status'}, 'Name': 'simpfy_challenges_vw.Challenge status', 'NativeReferenceName': 'Challenge Status'}]}",slicer
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual13_slicer,Visual13_slicer,Visual13_slicer,Visual13_slicer,Visual13_slicer,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'segment_name'}, 'Name': 'simpfy_challenges_vw.segment_name', 'NativeReferenceName': 'Segment'}]}",slicer
